id	title	description	price	condition	link	availability	image_link
kids-lehenga-v2	Kids Silk Lehenga Set — Royal Blue	Adorable silk lehenga sets — soft, comfortable and party-ready. Soft silk, comfort fit - Royal Blue variant	1139 INR	new	http://localhost:8150/product.html?id=kids-lehenga-v2	in stock	http://localhost:8150/images/products/soft-silk.jpg
kids-lehenga-v3	Kids Silk Lehenga Set — Wine	Adorable silk lehenga sets — soft, comfortable and party-ready. Soft silk, comfort fit - Wine variant	1103 INR	new	http://localhost:8150/product.html?id=kids-lehenga-v3	in stock	http://localhost:8150/images/products/soft-silk.jpg
men-dhoti-v1	Pure Cotton Men Dhoti — Emerald	Soft pure-cotton dhotis with optional gold zari border. 100% pure cotton - Emerald variant	499 INR	new	http://localhost:8150/product.html?id=men-dhoti-v1	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
men-dhoti-v2	Pure Cotton Men Dhoti — Royal Blue	Soft pure-cotton dhotis with optional gold zari border. 100% pure cotton - Royal Blue variant	474 INR	new	http://localhost:8150/product.html?id=men-dhoti-v2	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
men-dhoti-v3	Pure Cotton Men Dhoti — Wine	Soft pure-cotton dhotis with optional gold zari border. 100% pure cotton - Wine variant	459 INR	new	http://localhost:8150/product.html?id=men-dhoti-v3	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
blouse-material-v1	Designer Blouse Material — Emerald	Premium blouse pieces matched to our saree shades. Matching saree fabric - Emerald variant	599 INR	new	http://localhost:8150/product.html?id=blouse-material-v1	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
blouse-material-v2	Designer Blouse Material — Royal Blue	Premium blouse pieces matched to our saree shades. Matching saree fabric - Royal Blue variant	569 INR	new	http://localhost:8150/product.html?id=blouse-material-v2	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
blouse-material-v3	Designer Blouse Material — Wine	Premium blouse pieces matched to our saree shades. Matching saree fabric - Wine variant	551 INR	new	http://localhost:8150/product.html?id=blouse-material-v3	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
zari-border-v1	Gold Zari Border & Accessory Pack	Handy gold zari border strips and pins for quick draping. Zari border + pins - Emerald variant	299 INR	new	http://localhost:8150/product.html?id=zari-border-v1	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
zari-border-v2	Gold Zari Border & Accessory Pack	Handy gold zari border strips and pins for quick draping. Zari border + pins - Royal Blue variant	284 INR	new	http://localhost:8150/product.html?id=zari-border-v2	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
zari-border-v3	Gold Zari Border & Accessory Pack	Handy gold zari border strips and pins for quick draping. Zari border + pins - Wine variant	275 INR	new	http://localhost:8150/product.html?id=zari-border-v3	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
daily-printed-v1	Daily Wear Printed Cotton — Emerald	Cool and comfy everyday cotton with a cheerful print. Pure cotton, printed - Emerald variant	549 INR	new	http://localhost:8150/product.html?id=daily-printed-v1	in stock	http://localhost:8150/images/products/printed-cotton.jpg
daily-printed-v2	Daily Wear Printed Cotton — Royal Blue	Cool and comfy everyday cotton with a cheerful print. Pure cotton, printed - Royal Blue variant	522 INR	new	http://localhost:8150/product.html?id=daily-printed-v2	in stock	http://localhost:8150/images/products/printed-cotton.jpg
daily-printed-v3	Daily Wear Printed Cotton — Wine	Cool and comfy everyday cotton with a cheerful print. Pure cotton, printed - Wine variant	505 INR	new	http://localhost:8150/product.html?id=daily-printed-v3	in stock	http://localhost:8150/images/products/printed-cotton.jpg
